NAME,ST_ABBREV,X,Y,Work_County_Name,Workers_in,FIPS,Shape_Length,Shape_Area,to_x,to_y,fromXY,toXY,labels,color,data
Iowa County,WI,43.000474429360139,-90.135383973254278,Dane County,3253,55049,2.023455277947318,0.219599983919743,43.067290230735232,-89.418122509641307,"[-90.135383973254278, 43.000474429360139]","[-89.418122509641307, 43.067290230735232]","['Iowa County', 'Dane County']",#7a0177,"{""from"":[-90.135383973254278, 43.000474429360139],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Iowa County', 'Dane County'],""color"":""#7a0177"",""value"":3253}"
Jefferson County,WI,43.020814272570817,-88.775865817027153,Dane County,5623,55055,1.648924232043921,0.166670276670349,43.067290230735232,-89.418122509641307,"[-88.775865817027153, 43.020814272570817]","[-89.418122509641307, 43.067290230735232]","['Jefferson County', 'Dane County']",#7a0177,"{""from"":[-88.775865817027153, 43.020814272570817],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Jefferson County', 'Dane County'],""color"":""#7a0177"",""value"":5623}"
Juneau County,WI,43.924604453594540,-90.113791975306668,Dane County,159,55057,2.578674891816203,0.233706110819672,43.067290230735232,-89.418122509641307,"[-90.113791975306668, 43.92460445359454]","[-89.418122509641307, 43.067290230735232]","['Juneau County', 'Dane County']",#fbb4b9,"{""from"":[-90.113791975306668, 43.92460445359454],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Juneau County', 'Dane County'],""color"":""#fbb4b9"",""value"":159}"
Lafayette County,WI,42.660499411936918,-90.131722224381150,Dane County,520,55065,1.792179577015969,0.180452990706257,43.067290230735232,-89.418122509641307,"[-90.13172222438115, 42.660499411936918]","[-89.418122509641307, 43.067290230735232]","['Lafayette County', 'Dane County']",#c51b8a,"{""from"":[-90.13172222438115, 42.660499411936918],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Lafayette County', 'Dane County'],""color"":""#c51b8a"",""value"":520}"
Marquette County,WI,43.819581774260975,-89.398749144666880,Dane County,542,55077,1.616759486705264,0.134580848788111,43.067290230735232,-89.418122509641307,"[-89.39874914466688, 43.819581774260975]","[-89.418122509641307, 43.067290230735232]","['Marquette County', 'Dane County']",#c51b8a,"{""from"":[-89.39874914466688, 43.819581774260975],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Marquette County', 'Dane County'],""color"":""#c51b8a"",""value"":542}"
Milwaukee County,WI,43.007130868484744,-87.966763700130144,Dane County,878,55079,1.267378449064154,0.069338638693822,43.067290230735232,-89.418122509641307,"[-87.966763700130144, 43.007130868484744]","[-89.418122509641307, 43.067290230735232]","['Milwaukee County', 'Dane County']",#c51b8a,"{""from"":[-87.966763700130144, 43.007130868484744],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Milwaukee County', 'Dane County'],""color"":""#c51b8a"",""value"":878}"
Outagamie County,WI,44.416091878817674,-88.464932224760844,Dane County,233,55087,1.788212723789321,0.188646928257146,43.067290230735232,-89.418122509641307,"[-88.464932224760844, 44.416091878817674]","[-89.418122509641307, 43.067290230735232]","['Outagamie County', 'Dane County']",#f768a1,"{""from"":[-88.464932224760844, 44.416091878817674],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Outagamie County', 'Dane County'],""color"":""#f768a1"",""value"":233}"
Ozaukee County,WI,43.384036048597750,-87.950818187142602,Dane County,139,55089,1.218815956654684,0.067714065683987,43.067290230735232,-89.418122509641307,"[-87.950818187142602, 43.38403604859775]","[-89.418122509641307, 43.067290230735232]","['Ozaukee County', 'Dane County']",#fbb4b9,"{""from"":[-87.950818187142602, 43.38403604859775],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Ozaukee County', 'Dane County'],""color"":""#fbb4b9"",""value"":139}"
Richland County,WI,43.375640622693460,-90.429483407326487,Dane County,463,55103,1.758449899727545,0.169514238850447,43.067290230735232,-89.418122509641307,"[-90.429483407326487, 43.37564062269346]","[-89.418122509641307, 43.067290230735232]","['Richland County', 'Dane County']",#f768a1,"{""from"":[-90.429483407326487, 43.37564062269346],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Richland County', 'Dane County'],""color"":""#f768a1"",""value"":463}"
Rock County,WI,42.671224648533141,-89.071566281608895,Dane County,9427,55105,1.877832740747330,0.206526411089392,43.067290230735232,-89.418122509641307,"[-89.071566281608895, 42.671224648533141]","[-89.418122509641307, 43.067290230735232]","['Rock County', 'Dane County']",#7a0177,"{""from"":[-89.071566281608895, 42.671224648533141],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Rock County', 'Dane County'],""color"":""#7a0177"",""value"":9427}"
Sauk County,WI,43.426663362889308,-89.948216716318242,Dane County,4377,55111,2.334474475220548,0.244474957826267,43.067290230735232,-89.418122509641307,"[-89.948216716318242, 43.426663362889308]","[-89.418122509641307, 43.067290230735232]","['Sauk County', 'Dane County']",#7a0177,"{""from"":[-89.948216716318242, 43.426663362889308],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Sauk County', 'Dane County'],""color"":""#7a0177"",""value"":4377}"
Walworth County,WI,42.668486802530708,-88.541903638494972,Dane County,686,55127,1.641991067497087,0.163987033564116,43.067290230735232,-89.418122509641307,"[-88.541903638494972, 42.668486802530708]","[-89.418122509641307, 43.067290230735232]","['Walworth County', 'Dane County']",#c51b8a,"{""from"":[-88.541903638494972, 42.668486802530708],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Walworth County', 'Dane County'],""color"":""#c51b8a"",""value"":686}"
Washington County,WI,43.368479969150002,-88.230762758091402,Dane County,358,55131,1.453587159224204,0.125305760534948,43.067290230735232,-89.418122509641307,"[-88.230762758091402, 43.368479969150002]","[-89.418122509641307, 43.067290230735232]","['Washington County', 'Dane County']",#f768a1,"{""from"":[-88.230762758091402, 43.368479969150002],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Washington County', 'Dane County'],""color"":""#f768a1"",""value"":358}"
Waukesha County,WI,43.018214483726737,-88.304508359127510,Dane County,1506,55133,1.647251671968628,0.166033143444032,43.067290230735232,-89.418122509641307,"[-88.30450835912751, 43.018214483726737]","[-89.418122509641307, 43.067290230735232]","['Waukesha County', 'Dane County']",#c51b8a,"{""from"":[-88.30450835912751, 43.018214483726737],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Waukesha County', 'Dane County'],""color"":""#c51b8a"",""value"":1506}"
Winnebago County,WI,44.068876840681845,-88.644658658602424,Dane County,165,55139,1.664026760884312,0.168338340894062,43.067290230735232,-89.418122509641307,"[-88.644658658602424, 44.068876840681845]","[-89.418122509641307, 43.067290230735232]","['Winnebago County', 'Dane County']",#fbb4b9,"{""from"":[-88.644658658602424, 44.068876840681845],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Winnebago County', 'Dane County'],""color"":""#fbb4b9"",""value"":165}"
Wood County,WI,44.455331296873752,-90.041549172553587,Dane County,118,55141,2.057275352216897,0.236987642673394,43.067290230735232,-89.418122509641307,"[-90.041549172553587, 44.455331296873752]","[-89.418122509641307, 43.067290230735232]","['Wood County', 'Dane County']",#fbb4b9,"{""from"":[-90.041549172553587, 44.455331296873752],""to"":[-89.418122509641307, 43.067290230735232],""labels"":['Wood County', 'Dane County'],""color"":""#fbb4b9"",""value"":118}"
